time,close,open,high,low
2020-10-01,914.09,910.13,914.09,909.13
2020-10-02,909.91,914.09,916.67,897.72
2020-10-05,914.68,913.77,915.55,910.96
2020-10-06,915.67,918.11,918.93,912.77
2020-10-07,919.72,913.62,923.57,912.69
2020-10-08,918.84,922.08,922.08,913.89
2020-10-09,924.00,919.48,924.00,917.70
2020-10-12,925.83,930.78,933.13,923.28
2020-10-13,929.86,926.76,930.96,923.78
2020-10-14,940.18,931.89,940.18,931.89
2020-10-15,942.76,945.28,945.93,938.70
2020-10-16,943.30,944.03,946.23,935.98
2020-10-19,943.69,945.01,946.29,941.92
2020-10-20,944.42,941.00,944.54,937.32
2020-10-21,939.03,947.16,948.20,939.00
2020-10-22,949.90,938.06,949.90,933.78
2020-10-23,961.26,953.45,961.26,953.14
2020-10-26,950.80,967.52,970.15,950.80
2020-10-27,946.47,950.80,954.72,946.28
2020-10-28,921.05,942.82,946.91,921.05
2020-10-29,919.08,916.49,925.84,914.33
2020-10-30,925.47,925.41,926.32,911.20
2020-11-02,933.68,926.09,933.68,924.14
2020-11-03,935.41,936.73,937.57,932.18
2020-11-04,939.76,935.41,943.56,933.86
2020-11-05,937.75,940.32,945.51,937.75
2020-11-06,938.29,939.73,941.20,934.63
2020-11-09,951.99,942.15,951.99,942.15
2020-11-10,951.90,962.68,963.47,951.90
2020-11-11,952.22,954.46,956.65,947.61
2020-11-12,959.28,953.97,959.28,953.62
2020-11-13,966.29,959.56,966.29,959.13
2020-11-16,950.79,970.11,972.98,950.50
2020-11-17,968.90,955.52,968.90,953.22
2020-11-18,973.53,969.48,974.30,966.32
2020-11-19,983.26,975.32,983.26,974.33
2020-11-20,990.00,984.71,990.00,980.72
2020-11-23,994.19,991.87,995.90,985.38
2020-11-24,995.76,996.55,997.99,984.92
2020-11-25,999.94,1000.39,1002.31,996.80
2020-11-26,1005.97,999.24,1005.97,994.91
2020-11-27,1010.22,1006.68,1010.22,1004.00
2020-11-30,1003.08,1011.82,1012.50,1002.61
2020-12-01,1008.87,988.71,1008.87,988.71
2020-12-02,1014.32,1008.77,1015.86,1007.91
